iter	Passed	Remaining
402	12755	18895
403	12788	18866
404	12822	18837
405	12855	18807
406	12888	18779
407	12919	18746
408	12962	18730
409	12998	18704
410	13038	18684
411	13075	18660
412	13119	18646
413	13148	18611
414	13181	18581
415	13215	18552
416	13247	18520
417	13278	18487
418	13309	18455
419	13339	18421
420	13371	18389
421	13401	18355
422	13430	18320
423	13475	18305
424	13519	18290
425	13552	18260
426	13585	18230
427	13624	18208
428	13662	18185
429	13702	18163
430	13745	18146
431	13786	18127
432	13823	18102
433	13860	18075
434	13901	18056
435	13940	18032
436	13999	18036
437	14030	18002
438	14079	17992
439	14114	17963
440	14152	17939
441	14185	17907
442	14216	17874
443	14253	17848
444	14284	17815
445	14315	17782
446	14345	17746
447	14374	17711
448	14403	17675
449	14432	17639
450	14459	17602
451	14488	17565
452	14517	17529
453	14548	17497
454	14579	17463
455	14607	17426
456	14637	17392
457	14667	17357
458	14698	17324
459	14727	17288
460	14758	17256
461	14790	17223
462	14817	17185
463	14847	17150
464	14877	17117
465	14906	17081
466	14933	17044
467	14964	17011
468	14993	16976
469	15021	16939
470	15050	16904
471	15079	16868
472	15108	16833
473	15136	16797
474	15167	16764
475	15197	16730
476	15226	16695
477	15256	16660
478	15284	16624
479	15313	16590
480	15343	16555
481	15371	16519
482	15399	16483
483	15428	16448
484	15457	16413
485	15488	16380
486	15513	16342
487	15544	16309
488	15573	16274
489	15601	16238
490	15630	16203
491	15660	16169
492	15689	16135
493	15718	16100
494	15751	16069
495	15779	16034
496	15808	15999
497	15838	15965
498	15866	15929
499	15896	15896
500	15922	15859
501	15952	15825
502	15981	15790
503	16009	15755
504	16037	15720
505	16066	15685
506	16094	15650
507	16125	15617
508	16151	15580
509	16179	15545
510	16207	15510
511	16234	15473
512	16266	15442
513	16295	15407
514	16321	15370
515	16353	15339
516	16380	15303
517	16411	15271
518	16442	15238
519	16472	15204
520	16501	15171
521	16537	15143
522	16568	15111
523	16599	15078
524	16629	15046
525	16659	15012
526	16692	14982
527	16744	14968
528	16781	14941
529	16813	14909
530	16844	14877
531	16876	14845
532	16905	14812
533	16938	14781
534	16968	14748
535	16998	14714
536	17031	14684
537	17061	14651
538	17093	14620
539	17126	14588
540	17159	14558
541	17192	14527
542	17224	14496
543	17257	14466
544	17290	14435
545	17321	14403
546	17353	14371
547	17384	14339
548	17460	14343
549	17503	14321
550	17538	14291
551	17573	14262
552	17606	14231
553	17642	14202
554	17675	14172
555	17707	14140
556	17743	14112
557	17776	14081
558	17810	14051
559	17843	14019
560	17878	13990
561	17912	13960
562	17944	13928
