Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
611,HONDA,FIT ARIA,2008,1500.0,Automatic,Petrol,187000.0,Kandy,2024-12-08,No Leasing,USED,Available,Available,Available,Available,49.5
4834,SUZUKI,BALENO,2019,1000.0,Automatic,Petrol,66000.0,Avissawella,2024-12-06,No Leasing,USED,Available,Available,Available,Available,91.0
5521,SUZUKI,SWIFT,2010,1300.0,Automatic,Petrol,165000.0,Horana,2025-01-12,No Leasing,USED,Available,Available,Available,Available,42.0
3350,NISSAN,PULSAR,1999,1500.0,Automatic,Petrol,286000.0,Kadawatha,2025-01-15,No Leasing,USED,Available,Available,Available,Available,24.95
6442,SUZUKI,WAGON R STINGRAY,2017,650.0,Automatic,Petrol,88000.0,Maharagama,2024-12-04,No Leasing,USED,Available,Available,Available,Available,70.5
8351,TOYOTA,EP91,1997,1330.0,Automatic,Petrol,308000.0,Matara,2025-01-11,No Leasing,USED,Available,Available,Available,Not_Available,36.9
3538,NISSAN,TIIDA LATIO,2007,1490.0,Automatic,Petrol,198000.0,Bandarawela,2024-12-04,Ongoing Lease,USED,Available,Available,Available,Available,49.25
554,HONDA,CIVIC FD1S,2006,1799.0,Automatic,Petrol,209000.0,Elpitiya,2024-12-08,No Leasing,USED,Available,Available,Available,Available,65.0
2638,NISSAN,EX SALOON,2004,1500.0,Automatic,Petrol,231000.0,Marawila,2025-01-19,No Leasing,USED,Available,Available,Available,Available,45.0
511,HONDA,CIVIC EK3,1998,1500.0,Manual,Petrol,297000.0,Matara,2025-01-17,No Leasing,USED,Available,Available,Available,Available,37.5
1730,MERCEDES-BENZ,E200,2003,1800.0,Automatic,Petrol,242000.0,Nittambuwa,2025-01-22,No Leasing,USED,Available,Available,Available,Available,91.0
5221,SUZUKI,MARUTI,2005,800.0,Manual,Petrol,220000.0,Ja-Ela,2024-12-22,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,16.691666666666666
967,HONDA,GRACE EX,2016,1500.0,Automatic,Hybrid,99000.0,Ampara,2025-02-04,No Leasing,USED,Available,Available,Available,Available,106.5
5763,SUZUKI,WAGON R,2007,1000.0,Manual,Petrol,198000.0,Piliyandala,2025-01-30,Ongoing Lease,USED,Available,Available,Not_Available,Available,37.4375
8161,TOYOTA,COROLLA NZE121,2002,1490.0,Automatic,Petrol,253000.0,Batticaloa,2025-01-07,No Leasing,USED,Available,Available,Available,Available,56.0
1513,MAZDA,DEMIO,2009,1300.0,Automatic,Petrol,176000.0,Colombo,2025-02-01,No Leasing,USED,Available,Available,Available,Available,49.5
8848,TOYOTA,PRIUS,2011,1790.0,Automatic,Hybrid,154000.0,Malabe,2024-12-14,No Leasing,USED,Available,Available,Available,Available,90.95
2288,MITSUBISHI,LANCER CS1,2003,1300.0,Manual,Petrol,242000.0,Kalutara,2025-01-02,No Leasing,USED,Available,Available,Available,Available,37.5625
4046,SUBARU,WRX STI 9,2004,2000.0,Manual,Petrol,231000.0,Wattala,2025-01-26,No Leasing,USED,Available,Available,Available,Available,115.0
1981,MICRO,PANDA CROSS,2016,1300.0,Manual,Petrol,99000.0,Gampaha,2025-01-15,No Leasing,USED,Available,Available,Not_Available,Available,32.76428571428572
2753,NISSAN,FB14,1996,1500.0,Manual,Petrol,319000.0,Kurunegala,2025-01-25,No Leasing,USED,Available,Available,Available,Available,26.5
8818,TOYOTA,PRIUS,2012,1800.0,Automatic,Hybrid,143000.0,Mahiyanganaya,2025-01-21,No Leasing,USED,Available,Available,Available,Available,101.0
4060,SUZUKI,A-STAR,2012,1000.0,Manual,Petrol,143000.0,Kaduwela,2025-01-28,No Leasing,USED,Available,Available,Available,Not_Available,40.75909090909091
8836,TOYOTA,PRIUS,2012,1700.0,Automatic,Petrol,143000.0,Panadura,2024-12-23,No Leasing,USED,Available,Available,Available,Available,90.0
6176,SUZUKI,WAGON R STINGRAY,2018,660.0,Automatic,Hybrid,77000.0,Dehiwala-Mount-Lavinia,2025-02-05,No Leasing,USED,Available,Available,Available,Available,73.95
1109,HONDA,S660,2018,650.0,Automatic,Petrol,77000.0,Kandy,2025-02-01,No Leasing,USED,Available,Available,Available,Available,59.0
6578,TATA,NANO,2016,659.0,Manual,Diesel,99000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,16.5
4827,SUZUKI,BALENO,1999,1300.0,Manual,Petrol,286000.0,Balangoda,2025-02-01,Ongoing Lease,USED,Available,Available,Not_Available,Available,23.0
1038,HONDA,INSIGHT,2012,1500.0,Automatic,Hybrid,143000.0,Gampaha,2025-01-27,No Leasing,USED,Available,Available,Available,Available,89.31250000000003
7040,TOYOTA,AQUA,2014,1500.0,Automatic,Hybrid,121000.0,Homagama,2024-12-25,No Leasing,USED,Available,Available,Available,Available,76.98434782608696
7966,TOYOTA,COROLLA 141,2008,2000.0,Manual,Diesel,187000.0,Ragama,2025-01-25,No Leasing,USED,Available,Available,Available,Available,62.0
7939,TOYOTA,COROLLA 121 G GRADE,2003,1500.0,Automatic,Petrol,242000.0,Kurunegala,2024-12-04,No Leasing,USED,Available,Available,Available,Available,67.5
4504,SUZUKI,ALTO 800,2015,800.0,Manual,Petrol,110000.0,Nittambuwa,2025-01-17,No Leasing,USED,Available,Available,Available,Not_Available,33.9
8779,TOYOTA,PRIUS,2008,1490.0,Automatic,Hybrid,187000.0,Kottawa,2025-01-31,No Leasing,USED,Available,Available,Available,Available,62.75
2319,MITSUBISHI,LANCER FURY,1986,1500.0,Manual,Petrol,429000.0,Divulapitiya,2024-12-15,No Leasing,USED,Available,Available,Not_Available,Not_Available,5.85
934,HONDA,GRACE,2015,1493.0,Automatic,Hybrid,110000.0,Veyangoda,2025-01-30,Ongoing Lease,USED,Available,Available,Available,Available,75.74999999999997
7067,TOYOTA,AQUA,2012,1500.0,Automatic,Hybrid,143000.0,Kandy,2024-12-18,No Leasing,USED,Available,Available,Available,Available,70.95
394,FORD,FOCUS,2011,1600.0,Automatic,Petrol,154000.0,Kandana,2025-01-31,No Leasing,USED,Available,Available,Available,Available,58.5
5790,SUZUKI,WAGON R,2017,660.0,Automatic,Hybrid,88000.0,Kurunegala,2025-01-12,No Leasing,USED,Not_Available,Available,Available,Available,64.5
8969,TOYOTA,STARLET,1989,1330.0,Manual,Petrol,396000.0,Nittambuwa,2025-01-16,No Leasing,USED,Available,Not_Available,Available,Not_Available,13.1
3344,NISSAN,PULSAR,1999,1500.0,Automatic,Petrol,286000.0,Maharagama,2025-02-01,No Leasing,USED,Available,Available,Available,Available,29.25
9731,VOLKSWAGEN,LEAF POLO E-UP,2019,1500.0,Automatic,Electric,66000.0,Piliyandala,2025-02-05,No Leasing,USED,Available,Available,Available,Available,64.75
2008,MICRO,PANDA CROSS,2013,1300.0,Manual,Petrol,132000.0,Dompe,2024-12-19,No Leasing,USED,Available,Available,Available,Available,28.35
1297,HYUNDAI,STELLAR,1986,1500.0,Manual,Petrol,429000.0,Horana,2024-12-08,No Leasing,USED,Available,Not_Available,Not_Available,Available,6.25
7739,TOYOTA,CARINA WAGON,1990,1450.0,Manual,Petrol,385000.0,Colombo,2025-01-20,No Leasing,USED,Available,Not_Available,Available,Not_Available,12.75
1162,HYUNDAI,ACCENT,2004,1500.0,Manual,Petrol,231000.0,Kiribathgoda,2024-12-31,No Leasing,USED,Available,Available,Available,Available,24.5
6948,TOYOTA,AQUA,2012,1500.0,Automatic,Hybrid,143000.0,Colombo,2025-02-02,No Leasing,USED,Available,Available,Available,Available,70.0
4147,SUZUKI,ALTO,2006,800.0,Manual,Petrol,209000.0,Battaramulla,2025-02-03,No Leasing,USED,Available,Available,Available,Available,26.0
3059,NISSAN,LEAF AZEO G GRADE,2013,1500.0,Automatic,Electric,132000.0,Kuliyapitiya,2025-01-09,No Leasing,USED,Available,Available,Available,Available,44.5
4982,SUZUKI,ESTILO,2010,1000.0,Manual,Petrol,165000.0,Anuradapura,2025-01-21,No Leasing,USED,Available,Available,Available,Available,32.75
58,AUSTIN,MINI,1960,1300.0,Automatic,Petrol,715000.0,Colombo,2024-12-29,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,25.0
2227,MITSUBISHI,LANCER BOX,1981,1400.0,Manual,Petrol,484000.0,Hambantota,2024-12-15,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,6.0
4277,SUZUKI,ALTO,2006,800.0,Manual,Petrol,209000.0,Kegalle,2025-01-26,No Leasing,USED,Available,Available,Not_Available,Not_Available,22.7
5364,SUZUKI,SPACIA,2015,660.0,Automatic,Hybrid,110000.0,Nugegoda,2025-02-03,No Leasing,USED,Available,Available,Available,Available,52.5
4328,SUZUKI,ALTO,2008,800.0,Manual,Petrol,187000.0,Gampaha,2025-01-04,No Leasing,USED,Available,Available,Not_Available,Available,23.46
