Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
205,CHEVROLET,AVEO,2008,1200.0,Manual,Petrol,187000.0,Galle,2025-01-22,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,23.75
9632,TOYOTA,VITZ SAFETY EDITION,2017,1000.0,Automatic,Petrol,88000.0,Anuradapura,2025-01-02,No Leasing,USED,Available,Available,Available,Available,84.0
1135,HYUNDAI,ACCENT,2006,1500.0,Manual,Petrol,209000.0,Dambulla,2025-01-30,No Leasing,USED,Available,Available,Not_Available,Available,25.875
9186,TOYOTA,VITZ,2018,1000.0,Automatic,Petrol,77000.0,Dehiwala-Mount-Lavinia,2025-02-03,No Leasing,USED,Available,Available,Available,Available,91.75
2749,NISSAN,FB14,1997,1500.0,Automatic,Petrol,308000.0,Kurunegala,2025-01-10,No Leasing,USED,Available,Available,Available,Available,25.6
3613,NISSAN,WINGROAD Y11,2000,1500.0,Automatic,Petrol,275000.0,Kandy,2025-01-28,No Leasing,USED,Available,Available,Available,Available,35.9
305,DAIHATSU,MIRA,2017,660.0,Automatic,Petrol,88000.0,Kandy,2025-01-18,No Leasing,NEW,Available,Available,Available,Available,59.6
1849,MICRO,MX7,2010,1500.0,Manual,Petrol,165000.0,Piliyandala,2024-12-07,No Leasing,USED,Available,Available,Available,Available,28.5
6147,SUZUKI,WAGON R MH44 FZ,2014,650.0,Automatic,Hybrid,121000.0,Ja-Ela,2025-01-22,No Leasing,USED,Available,Available,Available,Available,55.0
1988,MICRO,PANDA CROSS,2014,1300.0,Manual,Petrol,121000.0,Matale,2025-01-09,No Leasing,USED,Available,Available,Not_Available,Available,29.5
3240,NISSAN,N16,2002,1498.0,Automatic,Petrol,253000.0,Colombo,2024-12-30,No Leasing,USED,Available,Available,Available,Not_Available,42.9
2798,NISSAN,FB15,2004,1500.0,Automatic,Petrol,231000.0,Kegalle,2025-02-04,No Leasing,USED,Available,Available,Available,Available,45.9
4515,SUZUKI,ALTO 800,2016,800.0,Manual,Petrol,99000.0,Batticaloa,2025-01-06,No Leasing,USED,Available,Available,Not_Available,Not_Available,32.85
5630,SUZUKI,SWIFT BEETLE,2004,1300.0,Automatic,Petrol,231000.0,Panadura,2024-12-19,No Leasing,USED,Available,Available,Available,Available,49.9
8560,TOYOTA,PREMIO,1999,2000.0,Automatic,Diesel,286000.0,Kadawatha,2025-01-11,No Leasing,USED,Available,Available,Available,Available,43.5
3109,NISSAN,MARCH AK12,2008,1300.0,Automatic,Petrol,187000.0,Matara,2025-02-05,No Leasing,USED,Available,Available,Available,Available,41.75
4939,SUZUKI,CULTUS,1990,1300.0,Manual,Petrol,385000.0,Mawanella,2024-12-23,No Leasing,USED,Available,Available,Available,Available,16.5
