Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2953,NISSAN,FB15 SUPER SALOON,2002,1490.0,Automatic,Petrol,253000.0,Homagama,2024-12-28,No Leasing,USED,Available,Available,Available,Available,43.5
3637,PERODUA,AXIA,2016,1000.0,Automatic,Petrol,99000.0,Battaramulla,2025-01-28,No Leasing,USED,Available,Available,Available,Available,53.5
7889,TOYOTA,COROLLA 121,2005,1300.0,Manual,Petrol,220000.0,Galle,2025-01-18,No Leasing,USED,Available,Available,Available,Available,56.5
4778,SUZUKI,ALTO LXI,2011,800.0,Manual,Petrol,154000.0,Kandy,2025-01-16,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.9
5845,SUZUKI,WAGON R,2008,1000.0,Manual,Petrol,187000.0,Homagama,2024-12-31,No Leasing,USED,Available,Available,Not_Available,Available,37.4375
9492,TOYOTA,VITZ,2015,1000.0,Automatic,Petrol,110000.0,Ratnapura,2024-12-07,No Leasing,USED,Available,Available,Available,Available,73.5
4117,SUZUKI,ALTO,2011,800.0,Manual,Petrol,154000.0,Mawanella,2025-02-05,No Leasing,USED,Available,Available,Available,Available,26.2945945945946
7961,TOYOTA,COROLLA 141,2007,1600.0,Automatic,Petrol,198000.0,Mawanella,2025-01-28,No Leasing,USED,Available,Available,Available,Available,72.5
1137,HYUNDAI,ACCENT,2002,1500.0,Manual,Petrol,253000.0,Minuwangoda,2025-01-29,No Leasing,USED,Available,Available,Available,Available,22.75
2767,NISSAN,FB14,1996,1490.0,Manual,Petrol,319000.0,Kandy,2024-12-22,No Leasing,USED,Available,Available,Available,Available,25.0
7816,TOYOTA,COROLLA,1996,2000.0,Manual,Diesel,319000.0,Kurunegala,2024-12-23,No Leasing,USED,Available,Available,Not_Available,Available,29.6
9459,TOYOTA,VITZ,2009,1000.0,Automatic,Petrol,176000.0,Dambulla,2024-12-15,No Leasing,USED,Available,Available,Available,Available,58.0
942,HONDA,GRACE,2016,1500.0,Automatic,Petrol,99000.0,Colombo,2025-01-07,No Leasing,USED,Available,Available,Available,Available,115.0
7302,TOYOTA,AXIO,2007,1500.0,Automatic,Petrol,198000.0,Bandaragama,2025-01-13,No Leasing,USED,Available,Available,Available,Available,69.5
2490,NISSAN,B310,1985,1400.0,Manual,Petrol,440000.0,Anuradapura,2025-01-24,No Leasing,USED,Available,Not_Available,Available,Not_Available,5.9
9473,TOYOTA,VITZ,2019,1000.0,Automatic,Petrol,66000.0,Dankotuwa,2024-12-12,No Leasing,USED,Available,Available,Available,Available,98.775
6290,SUZUKI,WAGON R STINGRAY,2014,650.0,Automatic,Petrol,121000.0,Pannipitiya,2025-01-07,No Leasing,USED,Available,Available,Available,Available,54.5
4935,SUZUKI,CELERIOX ZXI AGS,2019,998.0,Automatic,Petrol,66000.0,Batticaloa,2024-12-27,No Leasing,USED,Available,Available,Available,Available,62.75
3935,PEUGEOT,508,2011,1600.0,Automatic,Petrol,154000.0,Colombo,2024-12-25,No Leasing,USED,Available,Available,Available,Available,140.0
6634,TATA,TATA,2005,1400.0,Manual,Petrol,220000.0,Kalutara,2024-12-29,No Leasing,USED,Available,Available,Available,Available,17.5
2384,NISSAN,AD WAGON,1988,1300.0,Manual,Petrol,407000.0,Nittambuwa,2025-01-30,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,6.5
115,BMW,520D,2012,1995.0,Automatic,Diesel,143000.0,Malabe,2025-01-31,No Leasing,USED,Available,Available,Available,Available,225.0
8146,TOYOTA,COROLLA G EDITION,1991,1300.0,Manual,Petrol,374000.0,Bentota,2025-02-04,No Leasing,USED,Available,Available,Available,Not_Available,16.9
9765,ZOTYE,Z100,2020,1000.0,Manual,Petrol,55000.0,Kandy,2025-02-03,No Leasing,USED,Available,Available,Available,Available,31.5
3119,NISSAN,MARCH AK12,2002,1300.0,Automatic,Petrol,253000.0,Moratuwa,2025-01-18,No Leasing,USED,Available,Available,Available,Available,36.0
4258,SUZUKI,ALTO,2003,660.0,Automatic,Petrol,242000.0,Ratnapura,2025-01-05,No Leasing,USED,Available,Available,Not_Available,Available,34.5
7171,TOYOTA,AQUA S GRADE,2013,1500.0,Automatic,Hybrid,132000.0,Colombo,2025-01-07,No Leasing,USED,Available,Available,Available,Available,75.92
902,HONDA,FIT SHUTTLE,2014,1300.0,Automatic,Hybrid,121000.0,Negombo,2025-01-26,No Leasing,USED,Available,Available,Not_Available,Available,96.0
2819,NISSAN,FB15,2007,1500.0,Automatic,Petrol,198000.0,Galle,2025-01-30,No Leasing,USED,Available,Available,Available,Available,48.9
3822,PERODUA,VIVA ELITE,2012,1000.0,Automatic,Petrol,143000.0,Mawanella,2025-01-01,No Leasing,USED,Available,Available,Not_Available,Not_Available,44.9
7991,TOYOTA,COROLLA 141 LX,2010,1600.0,Manual,Petrol,165000.0,Nittambuwa,2025-01-27,No Leasing,USED,Available,Available,Available,Available,87.9
6572,TATA,INDIGO GLX,2004,1400.0,Manual,Petrol,231000.0,Chilaw,2025-02-01,No Leasing,USED,Available,Available,Not_Available,Available,17.5
8896,TOYOTA,PRIUS S LED,2013,1800.0,Automatic,Hybrid,132000.0,Nawalapitiya,2025-02-02,No Leasing,USED,Available,Available,Available,Available,98.75
4699,SUZUKI,ALTO JAPAN TURBO RS WORKS,2015,650.0,Automatic,Petrol,110000.0,Ganemulla,2025-02-02,No Leasing,USED,Available,Available,Available,Available,58.0
8725,TOYOTA,PREMIO G SUPERIOR,2015,1500.0,Automatic,Petrol,110000.0,Kandy,2025-01-22,No Leasing,USED,Available,Available,Available,Available,137.0
3802,PERODUA,VIVA ELITE,2011,1000.0,Automatic,Petrol,154000.0,Mawanella,2025-01-24,No Leasing,USED,Available,Available,Available,Available,41.95
6068,SUZUKI,WAGON R FZ,2014,660.0,Automatic,Petrol,121000.0,Kurunegala,2024-12-31,No Leasing,USED,Available,Available,Available,Available,53.5
5810,SUZUKI,WAGON R,2014,650.0,Automatic,Hybrid,121000.0,Gampaha,2025-01-26,No Leasing,USED,Available,Available,Available,Available,58.9
3536,NISSAN,TIIDA LATIO,2007,1500.0,Automatic,Petrol,198000.0,Nugegoda,2025-01-06,No Leasing,USED,Available,Available,Available,Available,49.5
3825,PERODUA,VIVA ELITE,2011,1000.0,Automatic,Petrol,154000.0,Kotikawatta,2024-12-30,No Leasing,USED,Available,Available,Available,Available,38.0
8454,TOYOTA,PASSO,2004,990.0,Automatic,Petrol,231000.0,Kuliyapitiya,2025-01-09,No Leasing,USED,Available,Available,Available,Available,43.75
