Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
1579,MAZDA,FAMILIA,2001,1320.0,Automatic,Petrol,264000.0,Kuliyapitiya,2024-12-26,No Leasing,USED,Available,Available,Available,Available,30.45
5167,SUZUKI,MARUTI,1994,800.0,Manual,Petrol,341000.0,Kandy,2025-01-26,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,12.0
6952,TOYOTA,AQUA,2013,1500.0,Automatic,Petrol,132000.0,Ampara,2025-02-01,No Leasing,USED,Available,Available,Available,Available,74.0
3263,NISSAN,N16 SUNNY,2005,1300.0,Manual,Petrol,220000.0,Kadawatha,2025-02-01,No Leasing,USED,Available,Available,Not_Available,Available,31.562499999999982
409,FORD,LASER,2000,1500.0,Automatic,Petrol,275000.0,Gampaha,2025-01-14,No Leasing,USED,Available,Available,Not_Available,Available,29.75
4525,SUZUKI,ALTO 800,2015,800.0,Manual,Petrol,110000.0,Matale,2025-01-01,No Leasing,USED,Available,Available,Not_Available,Available,32.75
8972,TOYOTA,STARLET,1982,1300.0,Manual,Petrol,473000.0,Kalutara,2025-01-10,No Leasing,USED,Available,Not_Available,Available,Available,11.5
3469,NISSAN,SUNNY FB15,2002,1500.0,Automatic,Petrol,253000.0,Kaduwela,2025-02-03,No Leasing,USED,Available,Available,Available,Available,39.75
2726,NISSAN,FB14,1996,1970.0,Automatic,Diesel,319000.0,Malabe,2025-02-01,No Leasing,USED,Available,Available,Available,Available,33.84375
477,HONDA,CIVIC,2004,1500.0,Automatic,Petrol,231000.0,Negombo,2025-01-16,No Leasing,USED,Available,Available,Available,Available,48.0
1329,ISUZU,GEMINI JT600,1988,1480.0,Manual,Diesel,407000.0,Divulapitiya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,12.75
3703,PERODUA,VIVA ELITE,2012,1000.0,Automatic,Petrol,143000.0,Anuradapura,2025-02-05,No Leasing,USED,Available,Available,Available,Available,40.0
9498,TOYOTA,VITZ,2015,990.0,Automatic,Petrol,110000.0,Kelaniya,2024-12-06,No Leasing,USED,Available,Available,Available,Available,74.15
1777,MERCEDES-BENZ,SEL300,1988,3000.0,Automatic,Diesel,407000.0,Panadura,2025-01-25,No Leasing,USED,Available,Available,Not_Available,Available,37.0
5813,SUZUKI,WAGON R,2014,660.0,Automatic,Hybrid,121000.0,Colombo,2025-01-25,No Leasing,USED,Available,Available,Available,Available,54.31
751,HONDA,FIT GP5,2014,1500.0,Automatic,Petrol,121000.0,Kandy,2025-02-03,No Leasing,USED,Available,Available,Available,Available,80.0
7803,TOYOTA,COROLLA,1997,1970.0,Automatic,Diesel,308000.0,Kuliyapitiya,2025-01-24,No Leasing,USED,Available,Available,Available,Available,33.5
7326,TOYOTA,AXIO,2014,1500.0,Automatic,Petrol,121000.0,Kandy,2025-01-25,No Leasing,USED,Available,Available,Available,Available,95.0
6811,TOYOTA,ALLION 240,2006,1500.0,Automatic,Petrol,209000.0,Wennappuwa,2024-12-23,No Leasing,USED,Available,Available,Available,Available,78.75
9014,TOYOTA,STARLET EP91,1999,1283.0,Automatic,Petrol,286000.0,Negombo,2025-01-13,No Leasing,USED,Available,Available,Not_Available,Not_Available,38.75
6508,SUZUKI,ZEN,2005,998.0,Manual,Petrol,220000.0,Colombo,2024-12-08,No Leasing,USED,Available,Available,Not_Available,Available,25.843749999999996
7511,TOYOTA,AXIO WXB,2017,1500.0,Automatic,Hybrid,88000.0,Galle,2024-12-04,No Leasing,USED,Available,Available,Available,Available,142.5
9421,TOYOTA,VITZ,2019,1000.0,Automatic,Petrol,66000.0,Gampaha,2024-12-22,No Leasing,USED,Available,Available,Available,Available,98.775
5465,SUZUKI,SUZUKI,1988,850.0,Manual,Petrol,407000.0,Ampara,2025-01-03,No Leasing,USED,Not_Available,Not_Available,Not_Available,Available,6.5
468,HONDA,CITY VTEC,2000,1500.0,Automatic,Petrol,275000.0,Colombo,2025-01-25,Ongoing Lease,USED,Available,Available,Available,Available,28.5
1545,MAZDA,DEMIO,2009,1340.0,Automatic,Petrol,176000.0,Nawala,2024-12-07,No Leasing,USED,Available,Available,Available,Available,58.75
8764,TOYOTA,PRIUS,2010,1790.0,Automatic,Petrol,165000.0,Kalutara,2025-02-04,No Leasing,USED,Available,Available,Available,Available,84.5
2683,NISSAN,FB13,1994,1500.0,Manual,Petrol,341000.0,Chilaw,2024-12-29,No Leasing,USED,Available,Available,Not_Available,Not_Available,16.0
6850,TOYOTA,ALLION 260,2008,1500.0,Automatic,Petrol,187000.0,Galle,2025-01-14,No Leasing,USED,Available,Available,Available,Available,86.5
4721,SUZUKI,ALTO K10,2015,1000.0,Manual,Petrol,110000.0,Balangoda,2025-01-10,No Leasing,USED,Available,Available,Not_Available,Available,38.61363636363636
1025,HONDA,INSIGHT,2011,1300.0,Automatic,Hybrid,154000.0,Colombo,2025-02-02,No Leasing,USED,Available,Available,Available,Available,79.5
4010,RENAULT,KWID,2017,1000.0,Manual,Petrol,88000.0,Gampaha,2024-12-06,No Leasing,USED,Available,Available,Available,Available,32.75
2354,MITSUBISHI,MIRAGE,1997,1300.0,Automatic,Petrol,308000.0,Kesbewa,2024-12-25,No Leasing,USED,Available,Available,Available,Available,30.5
4877,SUZUKI,CELERIO,2017,1000.0,Manual,Petrol,88000.0,Badulla,2024-12-26,No Leasing,USED,Available,Available,Not_Available,Not_Available,47.8
5384,SUZUKI,SPACIA,2018,650.0,Automatic,Petrol,77000.0,Ja-Ela,2025-01-27,No Leasing,USED,Available,Available,Available,Available,82.5
773,HONDA,FIT GP5,2014,1500.0,Automatic,Petrol,121000.0,Matale,2025-01-05,No Leasing,USED,Available,Available,Available,Available,82.5
7845,TOYOTA,COROLLA 110,1996,1980.0,Automatic,Diesel,319000.0,Matara,2025-01-24,No Leasing,USED,Available,Available,Not_Available,Not_Available,27.5
6155,SUZUKI,WAGON R PREMIUM,2018,659.0,Automatic,Hybrid,77000.0,Panadura,2024-12-16,No Leasing,USED,Available,Available,Available,Available,66.19166666666666
6608,TATA,NANO,2012,659.0,Manual,Petrol,143000.0,Polgahawela,2024-12-26,No Leasing,USED,Available,Available,Not_Available,Available,12.25
641,HONDA,FIT GP1,2012,1300.0,Automatic,Hybrid,143000.0,Nugegoda,2025-02-03,No Leasing,USED,Available,Available,Available,Available,69.0
3979,RENAULT,KWID,2016,800.0,Manual,Petrol,99000.0,Kalutara,2025-01-31,No Leasing,USED,Available,Available,Not_Available,Available,32.0
5006,SUZUKI,HUSTLER,2017,660.0,Automatic,Petrol,88000.0,Malabe,2025-01-31,No Leasing,USED,Available,Available,Available,Available,63.5
8344,TOYOTA,ELEPHANT BACK,1998,1330.0,Manual,Petrol,297000.0,Kandy,2024-12-08,No Leasing,USED,Available,Available,Not_Available,Not_Available,25.0
1108,HONDA,S660,2018,660.0,Automatic,Petrol,77000.0,Kurunegala,2025-02-04,No Leasing,USED,Available,Available,Available,Available,58.75
3244,NISSAN,N16,2003,1600.0,Manual,Petrol,242000.0,Pannipitiya,2024-12-18,No Leasing,USED,Available,Available,Available,Available,53.825
7958,TOYOTA,COROLLA 141,2008,1500.0,Automatic,Petrol,187000.0,Kandy,2025-01-31,No Leasing,USED,Available,Available,Available,Available,64.25
1420,KIA,RIO,2003,1500.0,Manual,Petrol,242000.0,Colombo,2024-12-31,No Leasing,USED,Available,Available,Available,Available,24.9
4075,SUZUKI,A-STAR,2011,998.0,Manual,Petrol,154000.0,Wennappuwa,2025-01-06,No Leasing,USED,Available,Available,Not_Available,Available,36.0
