Zone,Division,School,Type,Students,Province,District,School_Type,Location
Hanguranketha,Udahewaheta,"Gangapalatha Maha Vidyalaya, Gonagathenna",1C,221.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Vidyakara Maha Vidyalaya, Poramadulla",1C,1507.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Padiyapelalla Secondary School, Padiyapelalla",1C,484.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Mathurata Maha Vidyalaya, Mathurata",1C,779.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Denike Secondary School, Denike",1C,386.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Deegalahinna Maha Vidyalaya, Elamulla",1C,468.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Princess Tamil Maha Vidyalayam, Gonapitiya",1C,323.0,Central Province,Nuwara Eliya District,Provincial schools,
Hanguranketha,Udahewaheta,"Vigneswara Tamil Maha Vidyalayam, Rahathungoda",1C,263.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Kiribathbandara Maha Vidyalaya, Kumbalgamuwa",1C,633.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Kalagawatta Maha Vidyalaya, Kalagawatta",1C,652.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Sri Dharmapala Secondory School, Munwatta",1C,164.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Pannala Maha Vidyalaya, Kumbalgamuwa",1C,413.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Liyanwala Sri Sudharma Maha Vidyalaya, Munwatta",1C,509.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Siduhath Maha Vidyalaya, Theripehe",1C,456.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Senarath Navodya Maha Vidyalaya, Kurupanwela",1C,390.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Sri Saddhananda Maha Vidyalaya, Rupaha",1C,436.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Harasbedda Sinhala Maha Vidyalaya, Harasbedda",1C,478.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Kotabe Maha Vidyalaya, Rupaha",1C,260.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Madulla Secondary School, Madulla",1C,552.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Sri Vidyapradeepa Secondary School, Udamedura",1C,366.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"St. Leonard's Tamil Maha Vidyalayam, Halgranoya",1C,782.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Tulloes Tamil Maha Vidyalayam, Udupussellawa",1C,645.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Rilamulla Tamil Maha Vidyalayam, Kandapola",1C,491.0,Central Province,Nuwara Eliya District,Provincial schools,
Walapane,Walapane,"Wimaladharma Vidyalaya, Udapussellawa",1C,234.0,Central Province,Nuwara Eliya District,Provincial schools,
Kandy District Zone,Kandy District,Asoka College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Dhaarul Uloom Al Meezaniyyah Arabic College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Dhurhan College,,,Central Province,Kandy District,Private schools,Galhinna
Kandy District Zone,Kandy District,Gateway College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Good Shepherd Convent,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Hillwood College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Loyal Ladies College,,,Central Province,Kandy District,Private schools,Peradeniya
Kandy District Zone,Kandy District,Mowbray College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Niswan Model School,,,Central Province,Kandy District,Private schools,Ambatenna
Kandy District Zone,Kandy District,Oxford College,,,Central Province,Kandy District,Private schools,Nawalapitiya
Kandy District Zone,Kandy District,Savihx College,,,Central Province,Kandy District,Private schools,Nawalapitiya
Kandy District Zone,Kandy District,Sherwood Girls College,,,Central Province,Kandy District,Private schools,Ambatenna
Kandy District Zone,Kandy District,Sri Chandananda Buddhist College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,St. Benedict's College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Stamford College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Sussex College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Trinity College,,,Central Province,Kandy District,Private schools,Kandy
Kandy District Zone,Kandy District,Wingham College,,,Central Province,Kandy District,Private schools,Nawalapitiya
Kandy District Zone,Kandy District,Yaqeen Model School,,,Central Province,Kandy District,Private schools,Ambatenna
Kandy District Zone,Kandy District,AQL International Girls School,,,Central Province,Kandy District,International schools,Akurana
Kandy District Zone,Kandy District,Colombo International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Blooming Buds Centre of Education,,,Central Province,Kandy District,International schools,Gampola
Kandy District Zone,Kandy District,Digana International School,,,Central Province,Kandy District,International schools,Digana
Kandy District Zone,Kandy District,École internationale,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Ecole International School,,,Central Province,Kandy District,International schools,Digana
Kandy District Zone,Kandy District,Evergreen International School,,,Central Province,Kandy District,International schools,Gelioya
Kandy District Zone,Kandy District,Gampola International School,,,Central Province,Kandy District,International schools,Gampola
Kandy District Zone,Kandy District,Greenhill International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Harvard Medha International School,,,Central Province,Kandy District,International schools,Haragama
Kandy District Zone,Kandy District,Irish International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,JMC International School,,,Central Province,Kandy District,International schools,Ampitiya
Kandy District Zone,Kandy District,Kandy Grammar School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,KEA International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Kingston English School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Leeds International School Nawalapitiya,,,Central Province,Kandy District,International schools,
Kandy District Zone,Kandy District,Lexicon International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Netherfield International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Rightway International School,,,Central Province,Kandy District,International schools,Akurana
Kandy District Zone,Kandy District,Springfield International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Vision International School,,,Central Province,Kandy District,International schools,Kandy
Kandy District Zone,Kandy District,Wesswood International Boys' College,,,Central Province,Kandy District,International schools,Katugastota
Kandy District Zone,Kandy District,Benhill International College,,,Central Province,Kandy District,International schools,Gampola
Kandy District Zone,Kandy District,The Wingham College,,,Central Province,Kandy District,International schools,Nawalapitiya
Kandy District Zone,Kandy District,Highlevel International School,,,Central Province,Kandy District,International schools,Hatton
Kandy District Zone,Kandy District,Senkadagala Deaf and Blind School,,,Central Province,Kandy District,Special schools,Kandy
Kandy District Zone,Kandy District,Blue Rose Special School,,,Central Province,Kandy District,Special schools,Kandy
Matale District Zone,Matale District,Royal English School,,,Central Province,Matale District,Private schools,Matale
Matale District Zone,Matale District,Focus International School,,,Central Province,Matale District,International schools,Matale
Matale District Zone,Matale District,Hilburn International School,,,Central Province,Matale District,International schools,Dambulla
Matale District Zone,Matale District,Lion Gate International School,,,Central Province,Matale District,International schools,Dambulla
Matale District Zone,Matale District,Matale International School,,,Central Province,Matale District,International schools,Matale
Matale District Zone,Matale District,Koswana Sahana Special School,,,Central Province,Matale District,Special schools,Kaikawala
Nuwara Eliya District Zone,Nuwara Eliya District,Life Spring Christian College,,,Central Province,Nuwara Eliya District,Private schools,Dickoya
Nuwara Eliya District Zone,Nuwara Eliya District,St. Patrick's College,,,Central Province,Nuwara Eliya District,Private schools,Talawakelle
Nuwara Eliya District Zone,Nuwara Eliya District,Sussex College Nuwara Eliya,,,Central Province,Nuwara Eliya District,Private schools,
Nuwara Eliya District Zone,Nuwara Eliya District,High Level International School,,,Central Province,Nuwara Eliya District,International schools,Hatton
Nuwara Eliya District Zone,Nuwara Eliya District,JMC International College,,,Central Province,Nuwara Eliya District,International schools,Kotmale
Nuwara Eliya District Zone,Nuwara Eliya District,Lyceum International School,,,Central Province,Nuwara Eliya District,International schools,Nuwara Eliya
